Date,Open,High,Low,Close,Adj Close,Volume
2022-06-06,4720.000000,4780.000000,4700.000000,4770.000000,4385.247070,16170500
2022-06-07,4770.000000,4780.000000,4720.000000,4730.000000,4348.474121,19562800
2022-06-08,4740.000000,4970.000000,4730.000000,4890.000000,4495.568359,56202700
2022-06-09,4900.000000,4930.000000,4760.000000,4820.000000,4431.214355,32236200
2022-06-10,4780.000000,4790.000000,4720.000000,4750.000000,4366.861328,20081200
2022-06-13,4690.000000,4700.000000,4600.000000,4690.000000,4311.699707,28947200
2022-06-14,4640.000000,4740.000000,4610.000000,4740.000000,4357.667480,22498700
2022-06-15,4750.000000,4810.000000,4690.000000,4800.000000,4412.827637,24158700
2022-06-16,4850.000000,4850.000000,4730.000000,4800.000000,4412.827637,19890100
2022-06-17,4760.000000,4800.000000,4650.000000,4650.000000,4274.926758,35637800
2022-06-20,4680.000000,5025.000000,4660.000000,5025.000000,4619.678711,64615100
2022-06-21,5050.000000,5100.000000,4950.000000,5050.000000,4642.663086,38363600
2022-06-22,5050.000000,5050.000000,4860.000000,4890.000000,4495.568359,25752200
2022-06-23,4900.000000,5000.000000,4860.000000,4960.000000,4559.922363,33615200
2022-06-24,4930.000000,4990.000000,4870.000000,4990.000000,4666.532227,22538000
2022-06-27,4990.000000,5000.000000,4900.000000,4980.000000,4657.180664,19512800
2022-06-28,4980.000000,5075.000000,4960.000000,5050.000000,4722.643066,25740300
2022-06-29,5000.000000,5050.000000,4910.000000,4940.000000,4619.773438,19482000
2022-06-30,4950.000000,4980.000000,4750.000000,4770.000000,4460.793457,32840700
2022-07-01,4750.000000,4860.000000,4690.000000,4830.000000,4516.903320,19350200
2022-07-04,4800.000000,4820.000000,4550.000000,4700.000000,4395.331055,22093000
2022-07-05,4700.000000,4780.000000,4680.000000,4760.000000,4451.441406,14993200
2022-07-06,4740.000000,4830.000000,4710.000000,4780.000000,4470.145020,12189400
2022-07-07,4820.000000,5025.000000,4800.000000,5000.000000,4675.884277,37537700
